write	mark	Synonym
work	tax	HasProperty
break	make	Antonym
reverse	gear	IsA
exit	move	IsA
lot	place	IsA
soup	meal	PartOf
bed	fun	HasProperty
stem	apple	PartOf
toy	real	Antonym
toy	plastic	MadeOf
record	tape	Antonym
rain	water	HasProperty
crowd	nobody	Antonym
bird	girl	Synonym
gift	present	IsA
work	recreation	Antonym
jacket	clothe	PartOf
nature	important	HasProperty
pepper	hot	HasProperty
apple	good	HasProperty
dance	social	IsA
line	long	HasProperty
world	everything	IsA
gas	poison	IsA
closet	wood	MadeOf
rest	tire	Antonym
chair	cushion	HasA
part	piece	Synonym
sofa	chair	IsA
car	horn	HasA
modern	antique	Antonym
well	place	IsA
house	bathroom	HasA
column	shape	IsA
umbrella	defense	IsA
side	house	PartOf
stretch	squash	Antonym
clear	confuse	Antonym
sky	cloudy	HasProperty
foot	human	PartOf
rain	snow	Antonym
volcano	hot	HasProperty
instrument	device	IsA
labor	class	IsA
fish	bone	HasA
peace	order	IsA
payment	money	Antonym
rule	serve	Antonym
consume	spend	IsA
coffee	bean	MadeOf
gold	value	HasA
fire	tool	IsA
roll	move	IsA
complicate	bad	HasProperty
top	cover	IsA
clothe	cotton	MadeOf
north	south	Antonym
floor	level	HasProperty
rain	fall	HasProperty
bus	coach	Synonym
tower	build	IsA
article	piece	IsA
love	feel	IsA
birth	death	Antonym
nobody	everyone	Antonym
bike	sport	IsA
sunset	red	HasProperty
birth	begin	IsA
serve	service	Synonym
seam	joint	IsA
statement	report	Synonym
chocolate	dessert	IsA
like	enjoy	Synonym
wall	room	PartOf
music	speech	Antonym
album	disk	Synonym
plant	flower	HasA
court	government	IsA
drug	useful	HasProperty
knife	sharp	HasProperty
test	trial	Synonym
trouble	suffer	Synonym
planet	large	HasProperty
pleasure	satisfaction	Synonym
plant	leave	HasA
drink	liquid	HasProperty
pit	cavity	Synonym
game	reality	Antonym
deceive	pretend	IsA
tissue	skin	PartOf
top	cap	Synonym
human	social	HasProperty
lose	suffer	IsA
go_up	rise	IsA
paint	construction	PartOf
skin	body	PartOf
age	young	Antonym
voice	silent	Antonym
chair	stool	IsA
banana	yellow	HasProperty
win	success	IsA
cake	sugar	MadeOf
wind	move	IsA
act	performance	Synonym
chocolate	candy	IsA
bark	trunk	PartOf
forest	desert	Antonym
rooster	chicken	HasProperty
sadness	uncomfortable	HasProperty
america	violent	HasProperty
fall	spring	Antonym
call	demand	IsA
season	cook	PartOf
juice	good	HasProperty
plate	china	MadeOf
book	text	IsA
point	knife	PartOf
hate	dislike	IsA
everyone	bone	HasA
shadow	light	Antonym
heart	game	IsA
build	increase	Synonym
bill	number	HasA
idol	pagan	Synonym
text	word	HasA
boot	trunk	Synonym
continent	country	MadeOf
flower	solid	HasProperty
nice	rank	Antonym
recreation	healthy	HasProperty
water	oxygen	MadeOf
escape	trap	Antonym
cat	bone	HasA
crowd	small	Antonym
raise	down	Antonym
brain	body	PartOf
handle	object	PartOf
blow	wind	Synonym
ball	fun	HasProperty
grape	red	HasProperty
world	universe	PartOf
respect	emotion	IsA
coffee	good	HasProperty
face	clock	PartOf
cement	concrete	PartOf
free	buy	Antonym
blanket	soft	HasProperty
split	increase	IsA
break	unbroken	Antonym
begin	point	IsA
pupil	eye	PartOf
equal	even	Synonym
terminal	port	IsA
world	complicate	HasProperty
mineral	vegetable	Antonym
language	communication	IsA
bed	big	HasProperty
close	move	IsA
magazine	album	IsA
orange_juice	juice	IsA
song	sing	Synonym
mix	combine	Synonym
human	alive	HasProperty
vacation	break	Synonym
up	increase	IsA
music	entertainment	PartOf
flower	nice	HasProperty
flower	alive	HasProperty
child	family	PartOf
game	play	Synonym
fly	escape	Synonym
wing	insect	PartOf
art	creation	IsA
triangle	metal	MadeOf
gas	fluid	Antonym
cut	tear	Antonym
program	instruction	MadeOf
solution	success	IsA
rest	support	Synonym
baby	man	Antonym
reverse	run	IsA
fire	burn	IsA
cat	soft	HasProperty
everybody	dream	HasA
book	magazine	Antonym
sea	water	MadeOf
fence	sport	IsA
newspaper	recycle	HasProperty
sound	energy	IsA
wash	work	IsA
union	place	IsA
animal	bone	HasA
eye	hole	IsA
crime	act	IsA
birthday	fun	HasProperty
day	morning	Antonym
pipe	metal	MadeOf
yard	landscape	HasProperty
china	asia	PartOf
disease	illness	HasProperty
ring	blue	HasProperty
