grain	amaranth	sibl
mint	excitant	false
leek	chive	sibl
refinery	anaerobe	false
giraffe	jellaba	false
grape	groundnut	sibl
reed	foxglove	sibl
van	filibuster	false
mint	biomass	false
waterbuck	whippet	sibl
redbud	holly	sibl
crocodile	chordate	hypo
catmint	eggplant	sibl
silkworm	mascara	false
apricot	mango	sibl
mint	maillot	false
refinery	bier	false
vole	keelboat	false
pika	tuna	sibl
haddock	vertebrate	hypo
myna	endosperm	false
ivy	dodder	sibl
swordfish	sassaby	sibl
man	wear	false
mammoth	auto	false
buck	walrus	sibl
grain	thyme	sibl
trout	songbird	sibl
begonia	wallflower	sibl
critter	varmint	sibl
budgerigar	sieve	false
tamarisk	greasewood	sibl
hickory	nectarine	sibl
slug	abalone	sibl
pelican	cormorant	sibl
evergreen	shellflower	sibl
mullein	peperomia	sibl
leafhopper	louse	sibl
quadruped	croup	mero
garlic	hornwort	sibl
dill	dandelion	sibl
lobelia	celery	sibl
grebe	pelican	sibl
mint	cautery	false
stonecrop	caladium	sibl
cotoneaster	blackthorn	sibl
grain	carrot	sibl
dock	rice	sibl
canna	parsley	sibl
refinery	houseman	false
monarda	caraway	sibl
cetacean	kayak	false
metatherian	foglamp	false
birch	nectarine	sibl
peacock	animal	hypo
whippet	tern	sibl
tobacco	safflower	sibl
gazanium	poppy	sibl
waterbuck	oligodendrocyte	false
mint	stela	false
refinery	squeaker	false
reindeer	tumbril	false
devilfish	vanity	false
tea	daphne	sibl
sorghum	taro	sibl
allamanda	bougainvillea	sibl
bushbaby	spathe	false
capsicum	lavender	sibl
peckerwood	troll	false
mint	watercraft	false
lemongrass	crabgrass	sibl
parroquet	rilievo	false
marmoset	monkey	hypo
gibbon	tern	sibl
isopod	pleopod	mero
sage	corn	sibl
warthog	sparrow	sibl
ferryboat	chamaeleon	false
dirigible	seersucker	false
jerboa	lanyard	false
refinery	doorstop	false
oats	ginger	sibl
refinery	maverick	false
refinery	receptacle	false
carrot	fennel	sibl
refinery	rankin	false
tautog	projection	false
mint	syringe	false
taro	cryptocoryne	sibl
senna	honeysuckle	sibl
pecan	plant	hypo
firefly	brachiopod	sibl
pineapple	strawberry	sibl
gentian	spermatophyte	hypo
refinery	unau	false
termite	postern	false
opossum	trout	sibl
lamprey	tyre	false
rabbit	uzi	false
refinery	cook	false
mulberry	coffee	sibl
plectognath	bosom	false
mint	sericocarpus	false
cumin	turmeric	sibl
steinbok	passage	false
fuchsia	gorse	sibl
grain	saxifrage	sibl
tiger	homozygote	false
peperomia	grain	sibl
beef	meltdown	false
soapwort	larkspur	sibl
eggplant	turmeric	sibl
bear	vessel	false
blackthorn	saltbush	sibl
tuatara	songbird	sibl
begonia	daisy	sibl
guava	maple	sibl
mint	softball	false
monarda	clover	sibl
milkweed	mullein	sibl
raccoon	walrus	sibl
sassaby	kookaburra	sibl
cryptocoryne	dogbane	sibl
shrewmouse	encaustic	false
metatherian	plumb	false
jasmine	artemisia	sibl
refinery	swineherd	false
mint	truck	false
iris	teff	sibl
angler	eyepiece	false
insectivore	mail	false
orangutan	waterbuck	sibl
swordfish	jet	false
cacao	neem	sibl
mint	lopholatilus	false
mint	aplectrum	false
refinery	gardiner	false
collembolan	pollinator	sibl
whippet	piranha	sibl
oleander	lentil	sibl
refinery	suit	false
hickory	elm	sibl
columbine	gazanium	sibl
refinery	oriole	false
strawberry	rue	sibl
frangipani	privet	sibl
mare	peccary	sibl
parsley	sage	sibl
refinery	redshank	false
dandelion	strawberry	sibl
asparagus	wintergreen	sibl
magnolia	breadfruit	sibl
bike	papa	false
monarda	rosemary	sibl
oxali	catmint	sibl
wisent	kite	sibl
powerboat	threadworm	false
angelica	thyme	sibl
microorganism	object	hypo
reindeer	hackle	false
duckbill	samizdat	false
cannabis	marijuana	mero
locoweed	wheatgrass	sibl
goldfish	thoroughbred	sibl
rhinoceros	sidetrack	false
saxifrage	sugarcane	sibl
adder	reptile	hypo
refinery	bukharin	false
kite	opossum	sibl
wheatgrass	cordgrass	sibl
refinery	polisher	false
poodle	orangutan	sibl
refinery	shirtmaker	false
peanut	stonecrop	sibl
gorilla	sloth	sibl
mint	asphodelus	false
rattan	alder	sibl
hemlock	yarrow	sibl
casuarina	peach	sibl
leopard	tiger	sibl
maple	breadfruit	sibl
leopard	lion	sibl
mink	gorilla	sibl
peppermint	locoweed	sibl
camel	demister	false
manzanita	blackthorn	sibl
vessel	cinnabar	false
refinery	stableboy	false
sparrow	tuatara	sibl
comfrey	turmeric	sibl
chicory	sundew	sibl
refinery	lovelace	false
lily	dogbane	sibl
honeybee	positioner	false
wheat	foxglove	sibl
poodle	thoroughbred	sibl
submersible	vessel	hypo
refinery	fluoroscope	false
